Step,Loss
25,3.1597
50,2.3401
75,2.5203
100,2.2425
125,2.4773
150,2.1187
175,2.4718
200,2.2298
225,2.2736
250,2.1417
275,2.3072
300,2.1228
325,2.4071
350,2.166
375,2.354
400,2.3079
425,2.2535
450,2.1439
475,2.4053
500,2.1439
525,2.3001
550,2.1918
575,2.3102
600,2.1427
625,2.293
650,2.1058
675,2.3346
700,2.1445
725,2.2724
750,2.0936
775,2.334
800,2.1604
825,2.2748
850,2.146
875,2.2576
900,2.165
925,2.2881
950,2.1735
975,2.3291
1000,2.0861
1025,2.2935
1050,2.1206
1075,2.2514
1100,2.1595
1125,2.3023
1150,2.0587
1175,2.3434
1200,2.092
1225,2.3528
1250,2.0671
1275,2.3499
1300,2.142
1325,2.2105
1350,2.1133
1375,2.3796
1400,2.1267
1425,2.2881
1450,2.1221
1475,2.3547
1500,2.0825
1525,2.3085
1550,2.195
1575,2.2609
1600,2.0673
1625,2.2935
1650,2.1011
1675,2.3694
1700,2.0768
1725,2.252
1750,2.1505
1775,2.2664
1800,2.0621
1825,2.3358
1850,2.196
1875,2.3776
1900,2.117
1925,2.3013
1950,2.1082
1975,2.2953
2000,2.0504
2025,2.2643
2050,2.1291
2075,2.2303
2100,2.1462
2125,2.3464
2150,2.1219
2175,2.2664
2200,2.1224
2225,2.3255
2250,2.0938
2275,2.283
2300,2.1401
2325,2.2184
2350,2.1387
2375,2.2102
2400,2.0146
2425,2.2811
2450,2.0815
2475,2.3646
2500,2.2092
2525,2.3392
2550,2.1179
2575,2.2801
2600,2.1959
2625,2.3456
2650,2.0814
2675,2.2804
2700,2.1894
2725,2.3212
2750,2.1581
2775,2.3277
2800,2.1379
2825,2.2812
2850,2.15
2875,2.1873
2900,2.1201
2925,2.3362
2950,2.0891
2975,2.285
3000,2.1723
3025,2.2272
3050,2.1416
3075,2.2736
3100,2.0601
3125,2.3018
3150,2.1376
3175,2.2699
3200,2.153
3225,2.2722
3250,2.0999
3275,2.2881
3300,2.0775
3325,2.2847
3350,2.0937
3375,2.2713
3400,2.1176
3425,2.2482
3450,2.1059
3475,2.2989
3500,2.1279
3525,2.2751
3550,2.0812
3575,2.2315
3600,2.1386
3625,2.3081
3650,2.1814
3675,2.187
3700,2.0622
3725,2.2673
3750,2.181
3775,2.1504
3800,2.1054
3825,2.2694
3850,2.0701
3875,2.2544
3900,2.1563
3925,2.2843
3950,2.0578
3975,2.2467
4000,2.2356
4025,2.1884
4050,2.1935
4075,2.2649
4100,2.0954
4125,2.3121
4150,2.1591
4175,2.3175
4200,2.1315
4225,2.2329
4250,2.0718
4275,2.3415
4300,2.1218
4325,2.3171
4350,2.1074
4375,2.2813
4400,2.1094
4425,2.3402
4450,2.0887
4475,2.2493
4500,2.1258
4525,2.2184
4550,2.0013
4575,2.2604
4600,2.1649
4625,2.2522
4650,2.1728
4675,2.2839
4700,2.0641
4725,2.2354
4750,2.218
4775,2.3533
4800,2.0488
4825,2.2724
4850,2.1348
4875,2.174
4900,2.1344
4925,2.3068
4950,2.134
4975,2.2798
5000,2.1069
5025,2.2567
5050,2.1402
5075,2.262
5100,2.1486
5125,2.2815
5150,2.1539
5175,2.1492
5200,2.0891
5225,2.3533
5250,2.136
5275,2.2956
5300,2.1316
5325,2.2688
5350,2.1526
5375,2.2416
5400,2.0685
5425,2.2218
5450,2.1132
5475,2.3252
5500,2.0627
5525,2.2206
5550,2.1355
5575,2.1797
5600,2.0771
5625,2.2404
5650,2.1434
5675,2.2868
5700,2.1347
5725,2.2948
5750,2.1834
5775,2.2948
5800,2.1262
5825,2.2393
5850,2.1188
5875,2.2335
5900,2.2102
5925,2.2392
5950,2.0283
5975,2.245
6000,2.1352
6025,2.2894
6050,2.1153
6075,2.2779
6100,2.1141
6125,2.231
6150,2.1333
6175,2.289
6200,2.1491
6225,2.3185
6250,2.0887
6275,2.2781
6300,2.1235
6325,2.3142
6350,2.1251
6375,2.2626
6400,2.0906
6425,2.2663
6450,2.125
6475,2.255
6500,2.1041
6525,2.2064
6550,2.1252
6575,2.2796
6600,2.1096
6625,2.2418
6650,2.0885
6675,2.3147
6700,2.14
6725,2.2619
6750,2.0849
6775,2.3321
6800,2.0786
6825,2.2436
6850,2.0799
6875,2.2708
6900,2.1259
6925,2.1911
6950,2.0788
6975,2.3429
7000,2.1761
7025,2.2661
7050,2.1458
7075,2.2432
7100,2.0879
7125,2.3172
7150,2.0957
7175,2.2247
7200,2.0381
7225,2.2821
7250,2.1067
7275,2.2381
7300,2.1103
7325,2.3044
7350,2.04
7375,2.2347
7400,2.0318
7425,2.2493
7450,2.2165
7475,2.2869
7500,2.1399
7525,2.3341
7550,2.0924
7575,2.231
7600,2.1551
7625,2.2295
7650,2.0915
7675,2.3216
7700,2.1795
7725,2.1943
7750,2.1124
7775,2.265
7800,2.0441
7825,2.2053
7850,2.1568
7875,2.2748
7900,2.121
7925,2.2767
7950,2.0813
7975,2.3465
8000,2.032
8025,2.2895
8050,2.0659
8075,2.3179
8100,2.0778
8125,2.35
8150,2.0646
8175,2.2602
8200,2.0895
8225,2.3142
8250,2.122
8275,2.2645
8300,2.1146
8325,2.3553
8350,2.1556
8375,2.2393
8400,2.1057
8425,2.3099
8450,2.1694
8475,2.3518
8500,2.1388
8525,2.2497
8550,2.1459
8575,2.2638
8600,2.0869
8625,2.274
8650,2.1826
8675,2.2771
8700,2.1449
8725,2.3202
8750,2.1425
8775,2.3006
8800,2.0319
8825,2.2697
8850,2.0374
8875,2.3133
8900,2.1863
8925,2.2517
8950,2.1581
8975,2.2999
9000,2.1491
9025,2.2521
9050,2.1178
9075,2.3123
9100,2.1766
9125,2.2906
9150,2.0995
9175,2.2099
9200,2.1106
9225,2.3446
9250,2.0944
9275,2.2896
9300,2.0536
9325,2.2648
9350,2.133
9375,2.1965
9400,2.0986
9425,2.3339
9450,2.0825
9475,2.2538
9500,2.0757
9525,2.2189
9550,2.1379
9575,2.2363
9600,2.1558
9625,2.2385
9650,2.0947
9675,2.2385
9700,2.1484
9725,2.1548
9750,2.0982
9775,2.1503
9800,2.1478
9825,2.2256
9850,2.0953
9875,2.2626
9900,2.1297
9925,2.336
9950,2.1201
9975,2.2588
10000,2.0724
10025,2.2509
10050,2.0532
10075,2.2457
10100,2.0552
10125,2.2495
10150,2.0464
10175,2.3043
10200,2.1867
10225,2.294
10250,2.1035
10275,2.1843
10300,2.139
10325,2.325
10350,2.1822
10375,2.2653
10400,2.108
10425,2.242
10450,2.066
10475,2.2905
10500,2.1267
10525,2.2664
10550,2.1323
10575,2.2204
10600,2.1487
10625,2.2802
10650,2.1377
10675,2.2721
10700,2.0352
10725,2.3258
10750,2.1555
10775,2.2752
10800,2.0396
10825,2.3206
10850,2.149
10875,2.3313
10900,2.1261
10925,2.2518
10950,2.2545
10975,2.3118
11000,2.1475
11025,2.2919
11050,2.1077
11075,2.1536
11100,2.1456
11125,2.2634
11150,2.1682
11175,2.2762
11200,2.1523
11225,2.3438
11250,2.1497
11275,2.2793
11300,2.1756
11325,2.3107
11350,2.1687
11375,2.2121
11400,2.1339
11425,2.2904
11450,2.1217
11475,2.3179
11500,2.1089
11525,2.2818
11550,2.1044
11575,2.3021
11600,2.1018
11625,2.2859
11650,2.0818
11675,2.38
11700,2.0136
11725,2.2973
11750,2.0956
11775,2.2739
11800,2.0672
11825,2.242
11850,2.1982
11875,2.2047
11900,2.045
11925,2.3072
11950,2.0648
11975,2.2756
12000,2.1107
12025,2.3313
12050,2.1481
12075,2.3042
12100,2.0165
12125,2.2476
12150,2.1491
12175,2.2288
12200,2.1257
12225,2.3431
12250,2.1957
12275,2.1907
12300,2.0049
12325,2.2164
12350,2.1295
12375,2.2985
12400,2.0399
12425,2.2778
12450,2.1535
12475,2.158
12500,2.1326
12525,2.221
12550,2.0984
12575,2.2228
12600,2.0987
12625,2.2639
12650,2.1545
12675,2.3479
12700,2.1888
12725,2.2025
12750,2.1088
12775,2.2517
12800,2.1045
12825,2.2603
12850,2.1237
12875,2.2778
12900,2.1195
12925,2.148
12950,2.111
12975,2.2045
13000,2.0927
13025,2.3348
13050,2.1801
13075,2.2559
13100,2.0842
13125,2.2921
13150,2.0748
13175,2.2443
13200,2.1135
13225,2.1832
13250,2.1947
13275,2.2997
13300,2.0854
13325,2.1807
13350,2.1462
13375,2.2529
13400,2.034
13425,2.2187
13450,2.0203
13475,2.3111
13500,2.2164
13525,2.2654
13550,2.1639
13575,2.3256
13600,2.0629
13625,2.2097
13650,2.1262
13675,2.309
13700,2.0974
13725,2.1759
13750,2.1665
13775,2.217
13800,2.1596
13825,2.2738
13850,2.1017
13875,2.2956
13900,2.1629
13925,2.243
13950,2.065
13975,2.3047
14000,2.1181
14025,2.1779
14050,2.1675
14075,2.3007
14100,2.1484
14125,2.283
14150,2.0832
14175,2.2229
14200,2.1614
14225,2.3174
14250,2.0634
14275,2.281
14300,2.1292
14325,2.2628
14350,2.0937
14375,2.214
14400,2.0669
14425,2.2078
14450,2.1742
14475,2.2089
14500,2.0994
14525,2.3
14550,2.1319
14575,2.3076
14600,2.2354
14625,2.3294
14650,2.1144
14675,2.2478
14700,2.0941
14725,2.2929
14750,2.1383
14775,2.318
14800,2.0739
14825,2.254
14850,2.1453
14875,2.277
14900,2.0345
14925,2.2389
14950,2.0778
14975,2.2467
15000,2.168
15025,2.3114
15050,2.1574
15075,2.2494
15100,2.0792
15125,2.2307
15150,2.0626
15175,2.25
15200,2.1199
15225,2.3218
15250,2.1045
15275,2.2198
15300,2.0576
15325,2.2303
15350,2.1548
15375,2.2324
15400,2.1267
15425,2.1913
15450,2.0753
15475,2.3282
15500,2.1936
15525,2.3264
15550,2.0642
15575,2.2628
15600,2.0721
15625,2.2167
15650,2.0876
15675,2.3132
15700,2.1197
15725,2.2404
15750,2.1226
15775,2.3307
15800,2.0516
15825,2.2038
15850,2.0958
15875,2.239
15900,2.106
15925,2.2017
15950,2.1285
15975,2.2241
16000,2.1482
16025,2.1814
16050,2.083
16075,2.2835
16100,2.1476
16125,2.3277
16150,1.9661
16175,2.2431
16200,2.0355
16225,2.2944
16250,2.1281
16275,2.2416
16300,2.093
16325,2.3189
16350,2.1355
16375,2.227
16400,2.1012
16425,2.2607
16450,2.106
16475,2.3038
16500,2.0366
16525,2.2635
16550,2.1526
16575,2.2028
16600,2.1045
16625,2.2936
16650,2.0589
16675,2.3371
16700,2.1701
16725,2.2682
16750,2.1232
16775,2.2662
16800,2.0971
16825,2.2726
16850,2.0657
16875,2.2926
16900,2.1162
16925,2.2184
16950,2.0282
16975,2.2863
17000,2.1632
17025,2.3301
17050,2.0909
17075,2.2735
17100,2.1848
17125,2.216
17150,2.1124
17175,2.3223
17200,2.1405
17225,2.1845
17250,2.0622
17275,2.2601
17300,2.1687
17325,2.2267
17350,2.0894
17375,2.2645
17400,2.0715
17425,2.2562
17450,2.1647
17475,2.2982
17500,2.0733
17525,2.2747
17550,1.9919
17575,2.3091
17600,2.1755
17625,2.3062
17650,2.1886
17675,2.1912
17700,2.1411
17725,2.283
17750,2.1112
17775,2.2283
17800,2.1457
17825,2.2785
17850,2.0734
17875,2.2291
17900,2.0543
17925,2.2355
17950,2.1325
17975,2.3419
18000,2.1401
18025,2.2317
18050,2.1701
18075,2.2644
18100,2.0724
18125,2.2964
18150,2.1338
18175,2.3113
18200,2.1219
18225,2.2803
18250,2.0122
18275,2.3605
18300,2.0937
18325,2.2985
18350,2.0348
18375,2.3819
18400,2.1195
18425,2.2179
18450,2.0539
18475,2.1994
18500,2.1087
18525,2.281
18550,2.1434
18575,2.2754
18600,2.1265
18625,2.267
18650,2.1145
18675,2.1843
18700,2.1344
18725,2.3334
18750,2.1274
18775,2.2989
18800,2.0332
18825,2.304
18850,2.0487
18875,2.3329
18900,2.0241
18925,2.2504
18950,2.1118
18975,2.3251
19000,2.0948
19025,2.33
19050,2.0679
19075,2.2754
19100,2.1253
19125,2.2804
19150,2.1587
19175,2.2196
19200,2.0106
19225,2.1997
19250,2.0877
19275,2.2735
19300,2.0948
19325,2.2206
19350,2.0618
19375,2.2858
19400,2.0493
19425,2.1696
19450,2.0841
19475,2.268
19500,2.1753
19525,2.297
19550,2.0519
19575,2.3151
19600,2.1197
19625,2.2396
19650,2.0576
19675,2.3645
19700,2.0682
19725,2.2521
19750,2.076
19775,2.3351
19800,2.0646
19825,2.3188
19850,2.1393
19875,2.2933
19900,2.1182
19925,2.2152
19950,2.117
19975,2.2228
20000,2.1111
20025,2.2053
20050,2.1493
20075,2.2868
20100,2.1826
20125,2.28
20150,2.0535
20175,2.2847
20200,2.1735
20225,2.2489
20250,2.1498
20275,2.3377
20300,2.1053
20325,2.2659
20350,2.1525
20375,2.2688
20400,2.094
20425,2.12
20450,2.0312
20475,2.2323
20500,2.0106
20525,2.281
20550,2.1398
20575,2.2699
20600,2.0843
20625,2.2632
20650,2.0597
20675,2.2685
20700,2.1014
20725,2.2547
20750,2.0793
20775,2.1371
20800,2.2359
20825,2.2314
20850,2.1048
20875,2.2123
20900,2.1793
20925,2.2936
20950,2.1355
20975,2.3265
21000,2.0761
21025,2.2913
21050,2.1056
21075,2.2453
21100,2.1447
21125,2.2897
21150,2.0927
21175,2.1954
21200,2.0997
21225,2.2681
21250,2.175
21275,2.2459
21300,2.1213
21325,2.2522
21350,2.1654
21375,2.3165
21400,2.1062
21425,2.2409
21450,2.0833
21475,2.212
21500,2.0792
21525,2.2624
21550,2.1154
21575,2.2611
21600,2.1269
21625,2.2197
21650,1.9871
21675,2.3227
21700,2.0722
21725,2.2682
21750,2.0078
21775,2.2245
21800,2.0742
21825,2.3134
21850,2.0665
21875,2.2413
21900,2.0883
21925,2.2514
21950,2.0645
21975,2.2022
22000,2.0929
22025,2.3505
22050,2.1566
22075,2.2488
22100,2.0971
22125,2.2767
22150,2.0299
22175,2.278
22200,2.1606
22225,2.2187
22250,2.0718
22275,2.2543
22300,2.1523
22325,2.2632
22350,2.104
22375,2.2673
22400,2.1918
22425,2.238
22450,2.1488
22475,2.289
22500,2.0928
22525,2.2787
22550,2.0583
22575,2.2984
22600,2.0631
22625,2.201
22650,2.009
22675,2.2974
22700,2.1023
22725,2.2515
22750,2.1139
22775,2.2625
22800,2.1034
22825,2.3374
22850,2.0276
22875,2.2381
22900,2.1118
22925,2.2131
22950,2.0503
22975,2.3144
23000,2.16
23025,2.3093
23050,2.0557
23075,2.2141
23100,2.1327
23125,2.2502
23150,2.1288
23175,2.2757
23200,2.0742
23225,2.3297
23250,2.1042
23275,2.2538
23300,2.2052
23325,2.1615
23350,2.104
23375,2.3223
23400,2.1314
23425,2.4593
23450,2.1328
23475,2.2735
23500,2.077
23525,2.3179
23550,2.1354
23575,2.2936
23600,2.0924
23625,2.2661
23650,2.1999
23675,2.1999
23700,2.0717
23725,2.2583
23750,2.1009
23775,2.192
23800,2.0564
23825,2.3134
23850,2.1686
23875,2.2189
23900,2.0437
23925,2.2527
23950,2.0943
23975,2.2464
24000,2.0266
24025,2.2576
24050,2.2101
24075,2.2324
24100,2.1217
24125,2.2065
24150,2.0288
24175,2.3325
24200,2.0407
24225,2.1757
24250,2.2225
24275,2.2133
24300,2.1977
24325,2.3305
24350,2.1366
24375,2.2314
24400,2.135
24425,2.2744
24450,2.0574
24475,2.2801
24500,2.117
24525,2.2694
24550,2.1687
24575,2.2398
24600,2.1434
24625,2.2276
24650,2.1346
24675,2.2409
24700,2.1911
24725,2.2445
24750,2.147
24775,2.1932
24800,2.1513
24825,2.3175
24850,2.0154
24875,2.1295
24900,2.0689
24925,2.1265
24950,2.0921
24975,2.1795
25000,2.0521
25025,2.1319
25050,2.0971
25075,1.9376
25100,2.2212
25125,2.0989
25150,2.104
25175,2.1017
25200,2.0159
25225,2.1113
25250,2.1228
25275,2.099
25300,2.1296
25325,2.0878
25350,2.0963
25375,2.1572
25400,2.0525
25425,2.0554
25450,2.0753
25475,2.1235
25500,2.0642
25525,2.0846
25550,2.0674
25575,2.0165
25600,2.1457
25625,2.048
25650,2.0548
25675,2.0663
25700,2.1242
25725,2.1157
25750,2.1272
25775,2.138
25800,2.1177
25825,2.1
25850,2.0101
25875,2.0754
25900,2.0612
25925,2.0367
25950,2.1784
25975,2.0641
26000,2.0665
26025,2.0974
26050,2.2293
26075,2.0381
26100,2.0634
26125,2.1356
26150,2.1635
26175,2.0948
26200,2.1218
26225,2.1109
26250,2.02
26275,2.0431
26300,2.1627
26325,2.0166
26350,2.0012
26375,1.9991
26400,2.1239
26425,2.0329
26450,2.1088
26475,2.0435
26500,2.1567
26525,2.0507
26550,2.1397
26575,2.082
26600,2.0717
26625,2.0498
26650,2.0789
26675,2.0364
26700,2.0694
26725,2.1051
26750,2.143
26775,2.135
26800,2.235
26825,2.0638
26850,2.1143
26875,2.155
26900,2.0524
26925,2.0886
26950,2.0407
26975,2.1281
27000,2.1087
27025,2.1285
27050,2.0678
27075,2.1158
27100,2.0414
27125,2.0911
27150,2.1415
27175,2.1451
27200,2.0977
27225,2.0871
27250,2.1606
27275,2.1411
27300,2.1787
27325,2.0938
27350,2.0289
27375,2.0784
27400,2.0343
27425,1.9879
27450,2.0815
27475,2.0767
27500,2.0801
27525,2.1752
27550,2.1406
27575,2.0356
27600,2.1038
27625,2.1482
27650,2.092
27675,2.0899
27700,2.0959
27725,2.0776
27750,2.0271
27775,2.1236
27800,2.1183
27825,2.0612
27850,2.0913
27875,2.0899
27900,2.0468
27925,2.0903
27950,2.0357
27975,2.0501
28000,2.0851
28025,2.0985
28050,2.0739
28075,2.0989
28100,2.017
28125,2.0347
28150,2.0146
28175,2.1031
28200,2.0715
28225,2.0683
28250,2.1146
28275,2.1082
28300,2.16
28325,2.1395
28350,2.0586
28375,2.0707
28400,2.0614
28425,2.0669
28450,2.1244
28475,2.142
28500,2.0939
28525,2.0871
28550,2.038
28575,2.0603
28600,2.0898
28625,2.2133
28650,2.0775
28675,2.0499
28700,2.0686
28725,2.1482
28750,2.0851
28775,2.0505
28800,2.1358
28825,2.0929
28850,2.0497
28875,2.088
28900,2.0795
28925,2.146
28950,2.1809
28975,2.1519
29000,2.2054
29025,2.0729
29050,2.0947
29075,2.0127
29100,2.0371
29125,2.086
29150,2.0728
29175,2.0854
29200,2.1528
29225,2.0585
29250,2.1091
29275,2.0169
29300,2.1243
29325,2.0688
29350,2.0153
29375,2.0912
29400,2.0583
29425,2.1243
29450,2.0935
29475,2.062
29500,2.1057
29525,2.0756
29550,2.0541
29575,2.247
29600,2.031
29625,2.128
29650,2.1045
29675,2.1402
29700,2.0678
29725,2.0781
29750,2.084
29775,2.1088
29800,2.1842
29825,2.0859
29850,2.0844
29875,2.1279
29900,2.0764
29925,2.0179
29950,2.0957
29975,2.0707
30000,2.0462
30025,2.1015
30050,2.101
30075,2.0883
30100,2.0889
30125,2.0866
30150,2.1147
30175,2.0978
30200,2.0619
30225,2.0594
30250,2.0978
30275,2.1254
30300,2.0261
30325,2.0561
30350,2.0885
30375,2.1387
30400,2.1473
30425,2.0274
30450,2.1002
30475,2.1226
30500,2.0319
30525,2.0913
30550,2.0776
30575,2.0911
30600,2.0676
30625,2.1338
30650,2.141
30675,2.1595
30700,2.1628
30725,2.0562
30750,2.1273
30775,2.0876
30800,2.0402
30825,2.0646
30850,2.1706
30875,2.0675
30900,2.0897
30925,2.0816
30950,2.0964
30975,2.0426
31000,2.0388
31025,2.0941
31050,1.9989
31075,2.0497
31100,2.1307
31125,2.0948
31150,2.0165
31175,2.0862
31200,2.0985
31225,2.0536
31250,2.0979
31275,2.0112
31300,2.0836
31325,2.1158
31350,2.1443
31375,2.0815
31400,2.1152
31425,2.1024
31450,2.105
31475,2.0953
31500,2.0397
31525,2.0891
31550,2.0403
31575,2.0108
31600,2.1002
31625,2.018
31650,2.1183
31675,2.04
31700,2.0691
31725,2.0373
31750,2.089
31775,2.0536
31800,2.0639
31825,2.1046
31850,2.071
31875,2.0944
31900,2.1162
31925,2.1138
31950,2.0735
31975,2.1217
32000,2.1044
32025,2.0566
32050,2.0411
32075,2.1436
32100,2.0352
32125,2.0592
32150,2.0778
32175,2.1389
32200,2.0248
32225,2.1279
32250,2.0923
32275,2.0972
32300,2.0824
32325,2.1313
32350,2.0567
32375,1.9901
32400,2.067
32425,2.074
32450,2.129
32475,2.1556
32500,2.1277
32525,2.0652
32550,2.1018
32575,2.179
32600,2.1425
32625,2.1512
32650,2.0542
32675,2.0424
32700,2.1745
32725,2.1344
32750,2.1817
32775,2.1834
32800,2.1835
32825,2.1059
32850,2.1565
32875,2.0564
32900,2.1222
32925,2.17
32950,2.0251
32975,2.1001
33000,2.0959
33025,2.1677
33050,2.1386
33075,2.0893
33100,2.075
33125,2.101
33150,2.0373
33175,2.034
33200,2.0823
33225,2.0002
33250,2.0725
33275,2.1282
33300,2.1451
33325,2.1141
33350,2.1205
33375,2.0706
33400,2.0496
33425,2.0271
33450,2.0376
33475,2.1037
33500,2.0782
33525,2.1083
33550,2.1141
33575,2.0393
33600,2.0482
33625,2.0291
33650,2.0732
33675,2.0018
33700,2.0734
33725,2.0281
33750,2.0423
33775,2.1065
33800,2.1132
33825,2.0622
33850,2.0879
33875,2.1573
33900,2.0757
33925,2.1351
33950,2.1128
33975,2.0399
34000,2.017
34025,2.073
34050,2.119
34075,2.0831
34100,2.1045
34125,2.0614
34150,2.0805
34175,2.1118
34200,2.1227
34225,2.1263
34250,2.0469
34275,1.9615
34300,2.1391
34325,2.0014
34350,2.0703
34375,2.0815
34400,2.1384
34425,2.0973
34450,2.1671
34475,2.0872
34500,2.0609
34525,2.0896
34550,2.1012
34575,2.2122
34600,2.045
34625,2.1767
34650,2.0874
34675,2.0328
34700,2.063
34725,2.096
34750,2.1297
34775,2.0798
34800,2.046
34825,2.1717
34850,2.2513
34875,2.0617
34900,2.0716
34925,2.0487
34950,2.0623
34975,2.0876
35000,2.1081
35025,2.1014
35050,2.0809
35075,2.0461
35100,2.1131
35125,2.0951
35150,2.0995
35175,2.1714
35200,2.0574
35225,2.1243
35250,2.1013
35275,2.1309
35300,2.1124
35325,2.081
35350,2.1057
35375,2.1141
35400,2.1084
35425,2.0351
35450,2.0696
35475,2.0258
35500,2.0702
35525,2.1082
35550,2.1345
35575,2.0645
35600,2.1359
35625,2.0612
35650,1.9913
35675,2.0753
35700,2.1282
35725,2.0743
35750,2.0721
35775,2.145
35800,2.1319
35825,2.0449
35850,2.1159
35875,2.0685
35900,2.1461
35925,2.0946
35950,2.1029
35975,2.1658
36000,2.1369
36025,2.1467
36050,2.0884
36075,2.0565
36100,2.1086
36125,2.1064
36150,2.0489
36175,2.0494
36200,2.1954
36225,2.1332
36250,2.0837
36275,2.0916
36300,2.0502
36325,2.1211
36350,2.194
36375,2.0903
36400,2.0582
36425,2.03
36450,2.1325
36475,2.1138
36500,2.1081
36525,2.0833
36550,2.1246
36575,2.0155
36600,2.0653
36625,2.1128
36650,2.1223
36675,2.0632
36700,2.0618
36725,2.0448
36750,2.0924
36775,2.0748
36800,2.0631
36825,2.1177
36850,2.0428
36875,2.2137
36900,2.0716
36925,2.194
36950,2.1497
36975,1.9725
37000,2.1059
37025,2.0717
37050,2.1532
37075,2.09
37100,2.1479
37125,2.0256
37150,2.022
37175,2.1032
37200,2.1582
37225,2.204
37250,2.1337
37275,2.091
37300,2.1738
37325,2.0231
37350,2.1248
37375,2.1741
37400,2.148
37425,2.0515
37450,2.1343
37475,2.0897
37500,2.1405
37525,2.1132
37550,2.069
37575,2.1748
37600,2.1909
37625,2.1488
37650,2.1015
37675,2.0465
